Time;temp.mean;dewpoint.mean
2017-08-04T14:23:10-04:00;null;null
2017-08-04T14:23:15-04:00;null;null
2017-08-04T14:23:20-04:00;null;null
2017-08-04T14:23:25-04:00;null;null
2017-08-04T14:23:30-04:00;null;null
2017-08-04T14:23:35-04:00;null;null
2017-08-04T14:23:40-04:00;null;null
2017-08-04T14:23:45-04:00;null;null
2017-08-04T14:23:50-04:00;null;null
2017-08-04T14:23:55-04:00;null;null
2017-08-04T14:24:00-04:00;null;null
2017-08-04T14:24:05-04:00;null;null
2017-08-04T14:24:10-04:00;null;null
2017-08-04T14:24:15-04:00;null;null
2017-08-04T14:24:20-04:00;null;null
2017-08-04T14:24:25-04:00;null;null
2017-08-04T14:24:30-04:00;null;null
2017-08-04T14:24:35-04:00;null;null
2017-08-04T14:24:40-04:00;null;null
2017-08-04T14:24:45-04:00;null;null
2017-08-04T14:24:50-04:00;null;null
2017-08-04T14:24:55-04:00;null;null
2017-08-04T14:25:00-04:00;null;null
2017-08-04T14:25:05-04:00;null;null
2017-08-04T14:25:10-04:00;null;null
2017-08-04T14:25:15-04:00;null;null
2017-08-04T14:25:20-04:00;null;null
2017-08-04T14:25:25-04:00;null;null
2017-08-04T14:25:30-04:00;null;null
2017-08-04T14:25:35-04:00;null;null
2017-08-04T14:25:40-04:00;null;null
2017-08-04T14:25:45-04:00;null;null
2017-08-04T14:25:50-04:00;null;null
2017-08-04T14:25:55-04:00;null;null
2017-08-04T14:26:00-04:00;null;null
2017-08-04T14:26:05-04:00;null;null
2017-08-04T14:26:10-04:00;null;null
2017-08-04T14:26:15-04:00;null;null
2017-08-04T14:26:20-04:00;null;null
2017-08-04T14:26:25-04:00;null;null
2017-08-04T14:26:30-04:00;null;null
2017-08-04T14:26:35-04:00;null;null
2017-08-04T14:26:40-04:00;null;null
2017-08-04T14:26:45-04:00;null;null
2017-08-04T14:26:50-04:00;90.9;70
2017-08-04T14:26:55-04:00;null;null
2017-08-04T14:27:00-04:00;null;null
2017-08-04T14:27:05-04:00;null;null
2017-08-04T14:27:10-04:00;null;null
2017-08-04T14:27:15-04:00;null;null
2017-08-04T14:27:20-04:00;null;null
2017-08-04T14:27:25-04:00;null;null
2017-08-04T14:27:30-04:00;null;null
2017-08-04T14:27:35-04:00;null;null
2017-08-04T14:27:40-04:00;null;null
2017-08-04T14:27:45-04:00;null;null
2017-08-04T14:27:50-04:00;null;null
2017-08-04T14:27:55-04:00;null;null
2017-08-04T14:28:00-04:00;null;null
2017-08-04T14:28:05-04:00;null;null
2017-08-04T14:28:10-04:00;null;null
2017-08-04T14:28:15-04:00;null;null
2017-08-04T14:28:20-04:00;null;null
2017-08-04T14:28:25-04:00;null;null
2017-08-04T14:28:30-04:00;null;null
2017-08-04T14:28:35-04:00;null;null
2017-08-04T14:28:40-04:00;null;null
2017-08-04T14:28:45-04:00;null;null
2017-08-04T14:28:50-04:00;null;null
2017-08-04T14:28:55-04:00;null;null
2017-08-04T14:29:00-04:00;null;null
2017-08-04T14:29:05-04:00;null;null
2017-08-04T14:29:10-04:00;null;null
2017-08-04T14:29:15-04:00;null;null
2017-08-04T14:29:20-04:00;null;null
2017-08-04T14:29:25-04:00;null;null
2017-08-04T14:29:30-04:00;null;null
2017-08-04T14:29:35-04:00;null;null
2017-08-04T14:29:40-04:00;null;null
2017-08-04T14:29:45-04:00;null;null
2017-08-04T14:29:50-04:00;null;null
2017-08-04T14:29:55-04:00;null;null
2017-08-04T14:30:00-04:00;null;null
2017-08-04T14:30:05-04:00;null;null
2017-08-04T14:30:10-04:00;null;null
2017-08-04T14:30:15-04:00;null;null
2017-08-04T14:30:20-04:00;null;null
2017-08-04T14:30:25-04:00;null;null
2017-08-04T14:30:30-04:00;null;null
2017-08-04T14:30:35-04:00;null;null
2017-08-04T14:30:40-04:00;null;null
2017-08-04T14:30:45-04:00;null;null
2017-08-04T14:30:50-04:00;null;null
2017-08-04T14:30:55-04:00;null;null
2017-08-04T14:31:00-04:00;null;null
2017-08-04T14:31:05-04:00;null;null
2017-08-04T14:31:10-04:00;null;null
2017-08-04T14:31:15-04:00;null;null
2017-08-04T14:31:20-04:00;null;null
2017-08-04T14:31:25-04:00;null;null
2017-08-04T14:31:30-04:00;null;null
2017-08-04T14:31:35-04:00;null;null
2017-08-04T14:31:40-04:00;null;null
2017-08-04T14:31:45-04:00;null;null
2017-08-04T14:31:50-04:00;null;null
2017-08-04T14:31:55-04:00;null;null
2017-08-04T14:32:00-04:00;null;null
2017-08-04T14:32:05-04:00;null;null
2017-08-04T14:32:10-04:00;null;null
2017-08-04T14:32:15-04:00;null;null
2017-08-04T14:32:20-04:00;null;null
2017-08-04T14:32:25-04:00;null;null
2017-08-04T14:32:30-04:00;null;null
2017-08-04T14:32:35-04:00;null;null
2017-08-04T14:32:40-04:00;null;null
2017-08-04T14:32:45-04:00;null;null
2017-08-04T14:32:50-04:00;null;null
2017-08-04T14:32:55-04:00;null;null
2017-08-04T14:33:00-04:00;null;null
2017-08-04T14:33:05-04:00;null;null
2017-08-04T14:33:10-04:00;null;null
2017-08-04T14:33:15-04:00;null;null
2017-08-04T14:33:20-04:00;null;null
2017-08-04T14:33:25-04:00;null;null
2017-08-04T14:33:30-04:00;null;null
2017-08-04T14:33:35-04:00;null;null
