,FileNames,Timestamp,absnum,ClearMax,amplitude,tempH,tempV,Start Time,End Time,Date,Cycle Time (s),Data,Bad Files
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0312.ibw,3584719236,4063801,92,0.226197,8290.06,123.985,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0313.ibw,3584719245,4230554,95,0.344226,7485.6,852.635,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0314.ibw,3584719253,4119604,93,0.434824,7734.51,914.99,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0315.ibw,3584719262,4048066,95,0.454309,8464.63,838.295,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0316.ibw,3584719270,4179624,97,0.458196,7937.91,836.234,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0317.ibw,3584719278,4416123,96,0.479677,7774.77,843.676,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0318.ibw,3584719287,4238491,95,0.460452,7907.83,899.654,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0319.ibw,3584719295,4286432,98,0.463438,7961.85,898.708,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0320.ibw,3584719304,4303290,104,0.480779,8230.72,834.251,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0321.ibw,3584719312,4208386,99,0.470582,8275.84,823.793,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0322.ibw,3584719321,4480555,102,0.47492,7973.01,868.944,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0323.ibw,3584719329,4318541,102,0.47461,8133.55,864.719,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0324.ibw,3584719337,4417590,100,0.453084,8075.65,890.072,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0325.ibw,3584719346,4310368,97,0.464646,8212.58,861.043,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0326.ibw,3584719354,4360741,100,0.190599,8652.74,83.4586,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0327.ibw,3584719363,4460142,102,0.478224,8299.91,907.719,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0328.ibw,3584719371,4277671,97,0.448603,8880.52,902.649,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0329.ibw,3584719380,4373045,102,0.468198,8110.2,913.672,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0330.ibw,3584719388,4377924,104,0.452066,8562.75,903.745,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0331.ibw,3584719397,4479548,104,0.46363,8312.48,896.499,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0332.ibw,3584719405,4463748,103,0.471054,8254.76,894.539,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0333.ibw,3584719413,4289204,103,0.460128,8322.74,849.72,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0334.ibw,3584719422,4306177,104,0.459516,8144.59,900.699,,,,,,
,I:\Data\2017\August\04\Flea3_20S4M_04Aug2017_0335.ibw,3584719430,4393373,101,0.47857,8254.2,898.12,,,,,,
